	Ácido Acetilsalicílico	Ácido Ectacrínico	Ácido Mefenâmico	Álcool (bebida)	Analgésicos Narcóticos	Anfetaminas	Antiácidos	Antibióticos (Largo Espectro)	Anticoagulantes Orais	Anticolinérgicos	Antidepressivos Tricíclicos	Anti-histamínicos	Barbitúricos	Benzodiazepinas (Diazepam)	Biguanidas (Fenformina)	Bloqueadores adrenérgicos beta	Bloqueantes Neuromusculares	Carbamazepina	Cefaloridina (Ceporan)	Clofibrato	Clonidina	Cloranfenicol	Colestiramina	Contraceptivos Orais	Corticosteróides	Dicloralfenazona	Digoxina	Esteróides Anabólicos	Fenfluramina	Fenilbutazona	Fenitoína	Fenotiazinas (Clorpromazina)	Furosemida	Glutetimida	Griseofulvina	Guanetidina	Haloperidol	Hidrato de Cloral	Indometacina	iMAOs	Insulinas	Isoniazida	Levodopa	Meprobamato	Metildopa	Metotrexato	Metronidazol	Naproxeno	Piridoxina	Procainamida	Quinidina	Rifampicina	Simpaticomiméticos (A. Directa)	Simpaticomiméticos (A. Indirecta)	Sulfimpirazona	Sulfonamidas	Sulfonilinas (Clorpropamida)	Tetraciclinas	Tiazidas	Tiramina (Alimentos, Etc.)	Tiroxina
Antidepressivos Tricíclicos	1	6	3	2	2	5	3	2	0	1	0	2	5	1	6	0	6	5	5	5	6	2	0	5	4	5	5	2	5	2	1	1	0	5	2	4	0	0	1	4	0	2	1	6	3	6	4	4	2	5	0	5	3	1	6	2	3	6	5	1	0
Anti-histamínicos	3	1	0	0	6	0	5	5	3	5	1	0	6	1	0	4	1	2	1	0	1	4	6	5	6	1	2	4	4	0	6	4	4	6	2	0	6	0	1	5	0	5	6	5	3	3	4	5	5	1	6	3	4	4	6	1	0	3	0	1	5
Barbitúricos	5	5	2	6	5	0	2	1	5	5	5	2	0	6	4	0	4	2	2	2	4	0	2	3	6	2	2	0	5	5	1	0	2	2	2	3	2	4	0	2	6	2	4	1	1	3	5	4	2	5	0	3	0	5	3	6	6	2	3	1	1
Benzodiazepinas (Diazepam)	4	5	6	5	0	0	4	1	3	6	2	3	0	0	5	1	2	2	3	2	5	0	6	3	3	3	3	1	4	6	5	6	1	1	1	6	3	1	5	6	0	5	3	6	0	2	6	5	1	4	5	4	2	5	3	1	5	5	6	5	3
Biguanidas (Fenformina)	5	1	5	3	4	2	5	0	2	6	3	5	1	3	0	5	1	6	4	1	3	1	4	6	3	0	2	6	4	5	6	1	6	5	1	5	3	5	2	3	4	3	5	2	1	1	0	4	4	4	1	1	4	6	4	5	6	2	5	3	1
Bloqueadores adrenérgicos beta	4	4	5	1	0	3	6	3	3	0	2	6	1	4	4	0	0	1	2	0	2	4	2	5	1	2	2	6	4	0	5	2	2	1	2	5	6	2	4	1	1	6	6	6	1	6	4	5	4	5	3	6	4	4	5	4	1	6	4	6	1
Bloqueantes Neuromusculares	6	2	2	3	4	4	6	0	2	1	2	1	2	0	4	6	0	3	5	0	1	3	6	1	6	0	0	2	4	5	5	4	6	0	2	6	3	4	3	3	4	4	6	3	0	2	3	3	2	3	4	1	3	4	4	6	3	1	6	4	0
Carbamazepina	2	5	2	0	1	5	5	1	2	0	2	5	5	5	4	2	1	0	0	2	6	2	2	5	5	3	2	0	5	1	3	2	3	1	6	6	2	2	0	5	5	6	3	2	6	2	5	1	6	4	5	3	4	3	3	6	6	2	0	3	0
Cefaloridina (Ceporan)	1	3	6	1	3	1	3	1	2	3	5	0	2	0	2	1	5	4	0	0	3	1	3	5	4	4	1	5	3	5	3	2	6	2	4	2	1	0	2	0	5	6	1	2	3	0	2	1	4	4	2	0	1	1	3	5	1	1	3	2	1
Clofibrato	1	2	2	1	4	6	3	3	0	4	0	3	2	0	5	5	3	2	5	0	4	4	2	5	2	4	2	5	2	2	4	6	3	5	1	2	5	6	5	3	6	3	0	6	6	2	1	1	5	1	3	0	0	5	3	6	2	4	2	2	6
Clonidina	3	0	6	0	1	5	6	4	5	3	2	4	3	5	6	0	3	6	2	6	0	1	4	5	4	2	5	2	3	0	3	0	0	4	4	6	5	4	4	1	6	1	1	3	4	3	4	6	2	4	4	2	1	1	6	6	2	3	1	0	2
Cloranfenicol	5	3	6	0	2	6	5	2	3	6	1	3	3	1	5	5	4	5	4	6	3	0	2	5	1	6	6	1	3	4	6	0	2	1	3	5	6	0	1	5	5	4	3	4	1	6	2	3	3	5	3	3	4	5	5	5	2	0	6	0	3
Colestiramina	1	2	4	4	1	2	5	0	2	6	0	6	5	4	1	3	0	0	2	2	3	1	0	2	2	1	2	4	1	1	3	2	4	2	1	6	1	5	6	6	1	3	5	2	1	0	4	0	4	0	6	1	4	3	0	4	5	3	4	3	3
Contraceptivos Orais	0	6	3	3	6	0	0	6	2	2	2	2	2	0	6	0	1	6	2	3	0	5	5	0	1	1	0	1	1	6	4	2	6	6	5	1	3	6	1	6	0	1	3	3	3	4	5	3	5	0	2	6	0	1	1	1	5	0	2	0	3
Corticosteróides	2	2	2	1	3	6	1	3	2	5	3	0	1	4	0	5	4	3	0	6	4	1	4	0	0	6	2	0	6	1	2	1	2	6	6	0	0	4	2	6	0	2	4	6	4	4	4	5	2	3	0	6	2	3	6	5	1	2	3	4	2
Dicloralfenazona	5	6	1	4	3	6	5	0	4	1	0	4	0	5	6	0	4	3	2	5	4	4	3	0	6	0	3	4	2	0	1	0	1	5	0	6	4	4	5	6	6	6	5	0	2	3	2	0	0	4	4	5	6	4	3	5	6	0	5	4	5
Digoxina	1	1	6	4	6	4	1	1	0	5	0	5	2	0	0	0	3	3	6	5	3	2	1	2	3	2	0	2	5	4	0	6	2	1	2	1	1	3	4	0	6	1	5	2	5	1	1	2	2	2	4	0	0	2	0	1	3	4	0	5	1
Esteróides Anabólicos	5	1	0	3	2	2	3	4	2	4	0	1	6	5	1	5	1	0	6	3	1	5	2	1	0	6	4	0	6	5	2	3	2	4	4	4	0	6	2	6	4	2	2	2	1	5	1	1	6	4	0	4	3	5	6	4	5	1	4	6	2
Fenfluramina	1	2	0	3	5	2	3	4	1	1	0	1	1	2	2	5	2	6	4	1	3	5	5	0	6	3	2	3	0	1	0	2	4	0	6	2	2	3	2	2	3	1	3	0	3	6	5	5	4	2	3	5	6	4	0	4	3	5	2	1	5
Fenilbutazona	4	5	0	2	0	6	2	4	1	6	0	4	5	4	2	0	2	1	1	2	3	0	2	1	5	5	4	5	0	0	6	2	1	6	2	4	6	6	2	0	4	2	2	2	3	4	5	1	3	1	4	5	1	4	4	0	0	2	0	3	3
Fenitoína	0	5	0	2	6	1	5	1	0	0	0	1	4	3	3	1	1	0	5	6	3	5	2	5	0	2	0	4	3	0	0	5	5	5	1	0	4	2	0	2	3	4	1	4	1	0	6	5	1	1	6	0	0	4	6	6	1	1	5	3	6
Fenotiazinas (Clorpromazina)	5	4	0	0	6	5	3	4	5	3	4	3	2	2	1	2	4	5	4	0	5	6	5	1	1	1	0	0	5	0	4	0	3	5	4	4	0	0	6	0	4	1	3	6	3	1	6	5	3	1	3	0	3	2	3	3	0	5	2	5	2
Furosemida	2	6	1	1	3	4	5	4	5	1	0	6	0	0	4	2	5	6	6	1	2	1	1	3	3	4	1	5	1	1	3	3	0	4	4	5	3	3	5	1	4	1	0	5	0	4	5	0	0	6	0	4	1	6	5	4	0	5	1	1	4
Glutetimida	6	0	4	1	1	2	4	2	0	4	5	0	1	2	2	1	3	4	2	6	3	0	6	3	6	6	1	6	6	1	3	4	1	0	3	1	6	4	4	4	2	1	3	5	5	5	4	6	4	1	6	3	6	2	4	5	1	4	4	6	4
Griseofulvina	1	6	6	5	5	3	4	4	6	1	1	1	4	4	4	4	2	3	4	2	1	6	3	5	6	4	2	5	1	6	4	4	1	6	0	5	6	5	1	1	0	6	6	1	0	5	0	5	5	2	4	2	2	4	6	1	5	5	4	1	1
Guanetidina	1	0	6	0	6	4	5	3	3	1	3	3	6	6	4	2	1	5	4	6	3	0	1	6	6	5	3	5	1	0	4	6	2	4	6	0	0	0	1	5	6	3	5	5	0	3	2	4	2	1	4	6	6	3	4	1	1	5	0	2	6
Haloperidol	4	2	6	1	5	4	4	2	2	5	6	6	3	4	4	3	5	6	2	5	0	1	6	1	2	2	0	4	0	3	1	0	2	3	2	6	0	6	6	3	6	2	6	2	6	0	2	2	6	4	1	3	5	6	1	3	6	3	5	0	5
Hidrato de Cloral	3	4	4	6	3	1	2	0	1	5	5	1	3	3	5	1	4	6	1	3	4	4	6	3	0	4	3	4	6	0	1	2	5	1	2	6	6	0	0	4	4	6	5	2	4	4	6	0	3	2	4	3	0	5	4	4	0	6	3	5	5
Indometacina	1	1	3	4	2	1	0	5	0	4	4	0	0	2	4	3	6	6	6	3	6	3	1	0	5	6	3	0	6	2	0	4	2	4	5	1	5	0	0	0	4	3	5	2	0	3	3	5	5	2	4	5	0	3	3	2	4	3	4	2	2
iMAOs	6	2	2	0	2	5	1	3	1	4	1	2	6	2	4	1	0	3	3	4	2	3	6	3	3	5	0	5	1	5	1	6	1	6	1	0	6	3	4	0	3	2	1	4	6	2	5	0	6	6	3	0	0	2	0	4	4	4	6	1	2
Insulinas	3	5	2	6	4	5	1	6	3	0	0	5	0	1	5	0	4	6	4	1	4	5	1	4	6	0	1	0	5	0	3	5	5	0	3	6	5	0	4	2	0	0	5	3	5	3	0	3	6	2	4	2	2	0	5	0	2	1	2	4	0
Isoniazida	5	6	3	4	0	3	5	1	1	2	4	2	1	4	0	2	1	2	4	1	1	3	0	5	3	4	0	1	6	5	5	6	6	2	4	3	4	4	5	1	3	0	4	2	5	1	2	6	5	4	4	1	6	3	3	5	3	4	0	4	3
Levodopa	3	1	4	4	0	0	1	5	3	6	5	5	0	0	6	4	3	5	5	2	4	4	3	0	4	1	5	5	0	3	0	0	3	3	5	6	1	0	2	0	4	3	0	4	0	4	4	3	2	6	2	4	5	2	3	1	1	6	3	2	5
Meprobamato	6	1	4	2	4	0	2	6	4	2	6	1	2	4	5	0	3	0	4	0	5	6	5	5	2	6	3	6	1	4	6	0	4	1	5	1	1	1	2	2	0	5	3	0	3	5	2	2	6	2	1	1	2	4	2	2	6	4	6	0	2
Metildopa	3	0	5	0	5	1	1	2	3	3	6	2	1	5	1	4	2	0	3	6	0	4	0	5	0	6	6	1	1	0	5	2	4	6	4	4	1	0	3	4	4	3	0	2	0	3	6	1	6	1	5	5	5	6	2	2	0	1	5	2	1
Metotrexato	5	1	6	3	2	6	0	4	2	1	2	5	2	5	5	2	3	0	0	4	3	5	6	3	6	6	6	4	5	4	4	3	3	3	0	2	1	4	3	2	6	5	6	6	6	0	6	0	0	3	0	2	4	5	6	1	4	6	2	4	6
Metronidazol	4	3	4	3	0	2	6	2	4	3	5	5	0	2	3	3	5	2	5	4	3	1	1	0	5	1	4	2	4	1	1	5	4	6	6	5	2	1	0	0	5	0	0	5	3	1	0	5	4	6	3	2	3	3	3	2	0	0	6	4	6
Naproxeno	1	4	5	4	5	0	3	6	2	1	5	4	2	0	5	3	1	1	1	0	1	2	6	3	3	3	0	2	5	0	3	0	0	2	0	4	5	3	0	4	4	2	6	2	4	6	5	0	5	0	4	6	6	2	5	3	5	2	6	2	0
Piridoxina	2	1	3	1	6	6	0	6	1	4	3	3	4	3	5	0	0	3	4	3	6	3	3	3	0	5	2	0	3	3	4	0	4	2	6	0	1	0	0	2	1	3	3	0	6	2	1	4	0	5	2	4	1	2	0	0	4	3	6	6	4
Procainamida	4	2	5	4	3	6	1	3	2	1	0	1	2	2	5	4	2	4	1	1	6	2	5	1	4	3	2	3	0	5	3	5	0	3	4	0	3	6	3	0	4	0	3	2	0	1	1	6	3	0	6	0	6	6	1	0	0	3	3	6	6
Quinidina	1	4	6	0	4	5	3	0	1	4	4	4	6	0	6	4	2	5	6	1	6	2	5	5	1	6	0	1	6	2	2	0	6	4	2	1	1	6	6	0	4	4	2	2	3	1	1	6	4	0	0	5	0	0	3	6	4	6	1	4	4
Rifampicina	2	0	3	6	4	0	4	5	5	0	4	5	2	4	5	1	0	4	3	1	6	6	3	5	0	6	6	3	1	4	0	0	3	2	2	2	6	0	2	3	2	5	1	5	4	6	1	1	0	3	2	0	4	3	2	1	3	4	6	5	4
Simpaticomiméticos (A. Directa)	3	2	4	1	1	1	2	5	2	6	4	4	3	3	5	2	6	4	1	5	5	0	6	4	6	0	4	4	0	3	3	1	2	4	0	1	6	3	5	3	0	1	6	5	0	4	4	4	1	0	1	0	0	4	4	3	5	4	1	3	1
Simpaticomiméticos (A. Indirecta)	3	3	0	2	2	0	6	6	3	2	4	2	6	0	4	3	2	4	6	2	6	1	0	2	0	1	4	3	0	2	2	2	2	6	5	1	6	5	6	6	2	4	0	6	2	1	3	0	1	0	0	2	2	0	2	4	2	3	0	5	4
Sulfimpirazona	4	4	6	2	5	4	4	2	6	4	3	2	4	1	1	3	6	0	3	0	0	0	6	2	5	3	3	5	2	1	3	5	6	0	5	1	6	2	3	2	2	0	0	6	5	2	1	1	0	3	3	4	0	3	0	2	0	3	5	0	6
Sulfonamidas	2	4	0	2	3	1	0	1	6	0	5	5	6	3	1	1	3	5	4	2	3	0	6	5	6	6	1	3	5	0	1	4	4	5	1	6	6	2	3	1	0	1	5	5	3	3	3	0	2	6	6	3	4	6	4	0	5	1	1	3	0
Sulfonilinas (Clorpropamida)	1	2	6	0	3	2	2	4	2	4	5	0	0	2	3	5	6	2	1	5	3	2	0	2	4	1	1	1	3	3	6	5	1	2	4	4	1	2	3	5	0	4	0	0	0	5	5	4	4	6	1	3	2	0	5	6	0	3	3	5	0
Tetraciclinas	4	0	2	1	6	5	1	6	3	1	5	1	2	4	3	3	3	2	3	2	6	1	6	6	6	1	0	0	3	2	1	1	1	3	1	0	2	1	1	0	3	6	4	2	4	3	6	2	4	6	6	1	5	3	5	0	3	0	5	5	4
Tiazidas	4	0	6	1	6	3	4	4	1	2	6	6	0	4	4	3	4	4	3	0	0	5	2	4	3	5	4	5	0	2	5	3	6	1	5	0	0	4	4	4	1	0	1	6	0	4	6	4	1	3	4	4	4	6	6	1	5	1	0	1	6
Tiramina (Alimentos, Etc.)	4	1	6	3	5	4	0	3	0	5	3	5	3	2	3	0	1	3	6	3	6	0	4	4	5	6	0	2	1	4	6	0	4	1	6	3	1	4	4	3	1	3	5	2	2	5	1	4	5	0	1	6	3	1	1	5	2	5	3	0	0
Tiroxina	2	2	2	3	3	6	1	4	5	3	0	2	6	2	3	6	3	3	6	3	0	6	3	0	0	3	1	1	2	1	2	0	6	0	0	5	3	1	6	1	0	3	2	0	5	1	1	5	4	0	0	6	1	5	1	3	4	0	3	4	0
