                                                Ácido Acetilsalicílico                  Ácido Ectacrínico                   Ácido Mefenâmico                    Álcool (bebida)             Analgésicos Narcóticos                        Anfetaminas                         Antiácidos      Antibióticos (Largo Espectro)              Anticoagulantes Orais                   Anticolinérgicos        Antidepressivos Tricíclicos                  Anti-histamínicos                       Barbitúricos         Benzodiazepinas (Diazepam)            Biguanidas (Fenformina)     Bloqueadores adrenérgicos beta        Bloqueantes Neuromusculares                      Carbamazepina             Cefaloridina (Ceporan)                         Clofibrato                          Clonidina                      Cloranfenicol                      Colestiramina               Contraceptivos Orais                   Corticosteróides                   Dicloralfenazona                           Digoxina              Esteróides Anabólicos                       Fenfluramina                      Fenilbutazona                          Fenitoína       Fenotiazinas (Clorpromazina)                         Furosemida                        Glutetimida                      Griseofulvina                        Guanetidina                        Haloperidol                  Hidrato de Cloral                       Indometacina                              iMAOs                          Insulinas                         Isoniazida                           Levodopa                        Meprobamato                          Metildopa                        Metotrexato                       Metronidazol                          Naproxeno                         Piridoxina                       Procainamida                          Quinidina                        Rifampicina    Simpaticomiméticos (A. Directa)  Simpaticomiméticos (A. Indirecta)                     Sulfimpirazona                       Sulfonamidas       Sulfonilinas (Clorpropamida)                      Tetraciclinas                           Tiazidas         Tiramina (Alimentos, Etc.)                           Tiroxina
Bloqueadores adrenérgicos beta                                       0                                  0                                  5                                  6                                  0                                  6                                  4                                  4                                  3                                  5                                  0                                  2                                  6                                  6                                  0                                  0                                  4                                  5                                  2                                  0                                  1                                  1                                  2                                  1                                  4                                  0                                  5                                  2                                  3                                  5                                  6                                  5                                  6                                  2                                  2                                  1                                  6                                  2                                  3                                  6                                  5                                  0                                  3                                  0                                  0                                  1                                  5                                  1                                  2                                  0                                  0                                  3                                  3                                  1                                  4                                  6                                  5                                  6                                  5                                  3                                  5
Bloqueantes Neuromusculares                                          2                                  1                                  2                                  3                                  3                                  0                                  3                                  1                                  2                                  2                                  6                                  2                                  1                                  0                                  2                                  5                                  0                                  3                                  5                                  2                                  6                                  2                                  4                                  2                                  3                                  6                                  2                                  0                                  4                                  5                                  3                                  0                                  6                                  6                                  2                                  1                                  5                                  3                                  2                                  1                                  3                                  4                                  4                                  5                                  5                                  1                                  4                                  6                                  6                                  2                                  2                                  0                                  5                                  0                                  0                                  4                                  0                                  5                                  6                                  4                                  6
Carbamazepina                                                        1                                  4                                  2                                  2                                  0                                  2                                  4                                  2                                  4                                  2                                  2                                  1                                  4                                  3                                  0                                  5                                  2                                  0                                  1                                  4                                  4                                  6                                  5                                  0                                  0                                  3                                  6                                  0                                  0                                  4                                  4                                  5                                  2                                  5                                  5                                  6                                  6                                  0                                  0                                  5                                  2                                  3                                  6                                  1                                  6                                  5                                  5                                  1                                  6                                  0                                  3                                  2                                  1                                  1                                  5                                  4                                  1                                  2                                  3                                  6                                  1
Cefaloridina (Ceporan)                                               0                                  2                                  6                                  0                                  3                                  5                                  0                                  3                                  2                                  5                                  6                                  3                                  0                                  4                                  1                                  4                                  4                                  1                                  0                                  2                                  4                                  2                                  6                                  5                                  6                                  1                                  3                                  3                                  6                                  4                                  2                                  3                                  6                                  1                                  1                                  1                                  3                                  5                                  6                                  1                                  6                                  6                                  4                                  2                                  3                                  4                                  0                                  1                                  2                                  3                                  6                                  3                                  4                                  4                                  5                                  6                                  1                                  1                                  4                                  3                                  6
Clofibrato                                                           6                                  3                                  0                                  3                                  2                                  0                                  5                                  3                                  2                                  1                                  3                                  1                                  4                                  3                                  0                                  2                                  3                                  6                                  1                                  0                                  3                                  5                                  5                                  2                                  2                                  1                                  6                                  4                                  6                                  3                                  0                                  3                                  4                                  1                                  2                                  1                                  6                                  5                                  3                                  1                                  4                                  1                                  1                                  5                                  5                                  2                                  3                                  0                                  2                                  5                                  0                                  6                                  0                                  4                                  2                                  0                                  3                                  5                                  2                                  2                                  4
Clonidina                                                            2                                  4                                  0                                  2                                  5                                  1                                  5                                  0                                  6                                  0                                  1                                  0                                  6                                  5                                  3                                  1                                  0                                  4                                  6                                  3                                  0                                  3                                  3                                  1                                  4                                  4                                  5                                  6                                  1                                  6                                  6                                  2                                  4                                  6                                  6                                  2                                  6                                  3                                  2                                  5                                  6                                  6                                  0                                  0                                  0                                  3                                  1                                  6                                  0                                  2                                  5                                  0                                  1                                  0                                  4                                  6                                  6                                  4                                  1                                  6                                  3
Cloranfenicol                                                        2                                  4                                  5                                  2                                  2                                  4                                  2                                  2                                  6                                  0                                  4                                  6                                  4                                  3                                  5                                  6                                  0                                  5                                  6                                  0                                  6                                  0                                  5                                  3                                  6                                  1                                  0                                  2                                  3                                  2                                  5                                  5                                  3                                  2                                  6                                  2                                  5                                  5                                  5                                  0                                  1                                  5                                  4                                  4                                  2                                  3                                  4                                  5                                  1                                  5                                  4                                  6                                  2                                  6                                  5                                  0                                  1                                  2                                  3                                  2                                  5
Colestiramina                                                        1                                  4                                  1                                  0                                  3                                  2                                  1                                  5                                  0                                  3                                  3                                  3                                  5                                  3                                  1                                  4                                  6                                  3                                  6                                  6                                  3                                  3                                  0                                  6                                  5                                  1                                  2                                  6                                  5                                  2                                  6                                  1                                  6                                  2                                  6                                  3                                  4                                  3                                  4                                  0                                  6                                  4                                  5                                  2                                  4                                  6                                  3                                  3                                  1                                  0                                  1                                  1                                  2                                  3                                  4                                  5                                  0                                  1                                  1                                  6                                  1
Contraceptivos Orais                                                 1                                  1                                  6                                  6                                  4                                  0                                  6                                  5                                  4                                  6                                  0                                  2                                  1                                  5                                  3                                  5                                  1                                  1                                  1                                  4                                  2                                  0                                  2                                  0                                  2                                  0                                  2                                  0                                  0                                  5                                  2                                  5                                  6                                  1                                  4                                  3                                  1                                  1                                  4                                  4                                  4                                  3                                  3                                  5                                  0                                  2                                  1                                  0                                  1                                  1                                  6                                  4                                  2                                  4                                  3                                  6                                  1                                  2                                  1                                  3                                  0
Corticosteróides                                                     6                                  4                                  3                                  3                                  6                                  2                                  1                                  4                                  6                                  0                                  2                                  3                                  6                                  5                                  2                                  2                                  2                                  5                                  1                                  4                                  2                                  6                                  2                                  3                                  0                                  3                                  0                                  1                                  0                                  4                                  1                                  5                                  3                                  6                                  6                                  3                                  2                                  0                                  2                                  6                                  3                                  6                                  2                                  2                                  5                                  5                                  6                                  4                                  0                                  3                                  2                                  0                                  3                                  6                                  4                                  3                                  0                                  1                                  2                                  5                                  4
Dicloralfenazona                                                     6                                  5                                  4                                  5                                  1                                  0                                  5                                  1                                  3                                  6                                  1                                  0                                  6                                  6                                  1                                  4                                  6                                  3                                  4                                  4                                  0                                  5                                  0                                  6                                  3                                  0                                  4                                  3                                  0                                  1                                  4                                  3                                  4                                  0                                  5                                  3                                  4                                  2                                  3                                  5                                  2                                  0                                  4                                  4                                  4                                  5                                  0                                  5                                  2                                  3                                  5                                  4                                  0                                  1                                  5                                  2                                  4                                  3                                  6                                  4                                  1
Digoxina                                                             0                                  5                                  4                                  5                                  6                                  0                                  5                                  1                                  4                                  0                                  2                                  2                                  0                                  3                                  5                                  0                                  5                                  0                                  0                                  1                                  3                                  4                                  3                                  1                                  4                                  1                                  0                                  2                                  5                                  4                                  2                                  3                                  5                                  1                                  5                                  6                                  4                                  5                                  1                                  1                                  1                                  4                                  6                                  1                                  1                                  6                                  6                                  4                                  4                                  4                                  4                                  2                                  0                                  6                                  0                                  5                                  1                                  5                                  5                                  5                                  2
Esteróides Anabólicos                                                3                                  0                                  5                                  6                                  5                                  4                                  5                                  1                                  3                                  3                                  6                                  1                                  3                                  1                                  0                                  2                                  0                                  2                                  5                                  0                                  6                                  1                                  4                                  0                                  4                                  2                                  4                                  0                                  3                                  1                                  0                                  5                                  2                                  3                                  2                                  6                                  6                                  6                                  5                                  6                                  5                                  1                                  1                                  0                                  5                                  0                                  0                                  4                                  5                                  5                                  2                                  2                                  4                                  5                                  1                                  4                                  1                                  6                                  2                                  2                                  4
Fenfluramina                                                         5                                  0                                  4                                  0                                  4                                  1                                  0                                  4                                  0                                  5                                  1                                  2                                  0                                  3                                  0                                  5                                  0                                  1                                  6                                  0                                  2                                  6                                  6                                  2                                  1                                  4                                  5                                  4                                  0                                  2                                  2                                  2                                  4                                  3                                  4                                  5                                  5                                  5                                  5                                  4                                  0                                  6                                  0                                  1                                  0                                  1                                  2                                  5                                  6                                  5                                  6                                  4                                  3                                  1                                  2                                  5                                  1                                  4                                  1                                  4                                  6
Fenilbutazona                                                        1                                  5                                  5                                  1                                  5                                  2                                  4                                  4                                  6                                  2                                  2                                  2                                  1                                  1                                  1                                  2                                  3                                  1                                  3                                  5                                  5                                  2                                  0                                  5                                  0                                  4                                  1                                  5                                  3                                  0                                  3                                  4                                  5                                  1                                  3                                  2                                  3                                  4                                  2                                  2                                  4                                  1                                  1                                  2                                  4                                  6                                  2                                  1                                  6                                  5                                  5                                  0                                  2                                  4                                  1                                  5                                  5                                  1                                  6                                  5                                  2
Fenitoína                                                            3                                  1                                  6                                  2                                  1                                  2                                  5                                  1                                  1                                  5                                  1                                  6                                  5                                  1                                  0                                  6                                  2                                  0                                  3                                  6                                  3                                  4                                  0                                  2                                  1                                  2                                  2                                  1                                  2                                  5                                  0                                  4                                  4                                  1                                  1                                  1                                  4                                  5                                  3                                  0                                  5                                  4                                  5                                  5                                  5                                  6                                  1                                  3                                  0                                  1                                  3                                  3                                  5                                  0                                  4                                  1                                  6                                  3                                  6                                  0                                  4
Fenotiazinas (Clorpromazina)                                         0                                  1                                  3                                  1                                  6                                  1                                  6                                  3                                  3                                  4                                  4                                  5                                  5                                  3                                  1                                  5                                  1                                  4                                  3                                  3                                  6                                  5                                  0                                  3                                  2                                  5                                  2                                  5                                  0                                  3                                  5                                  0                                  2                                  6                                  0                                  1                                  4                                  6                                  4                                  3                                  6                                  4                                  1                                  1                                  3                                  2                                  4                                  3                                  2                                  2                                  0                                  6                                  0                                  3                                  6                                  5                                  4                                  6                                  6                                  4                                  4
Furosemida                                                           2                                  1                                  2                                  3                                  2                                  3                                  0                                  2                                  3                                  5                                  3                                  1                                  2                                  2                                  3                                  2                                  2                                  1                                  5                                  6                                  4                                  1                                  2                                  0                                  1                                  2                                  6                                  5                                  6                                  3                                  3                                  5                                  0                                  6                                  1                                  3                                  0                                  2                                  2                                  3                                  5                                  4                                  4                                  0                                  4                                  0                                  5                                  6                                  3                                  6                                  5                                  6                                  4                                  1                                  6                                  3                                  3                                  2                                  1                                  4                                  0
Glutetimida                                                          0                                  6                                  0                                  6                                  4                                  1                                  6                                  0                                  6                                  3                                  3                                  3                                  1                                  3                                  6                                  2                                  1                                  2                                  0                                  2                                  0                                  4                                  2                                  5                                  3                                  5                                  2                                  4                                  0                                  5                                  1                                  5                                  6                                  0                                  2                                  2                                  0                                  2                                  3                                  6                                  1                                  1                                  6                                  3                                  5                                  4                                  4                                  0                                  4                                  0                                  6                                  1                                  3                                  4                                  6                                  3                                  2                                  1                                  1                                  5                                  3
Griseofulvina                                                        0                                  0                                  5                                  1                                  2                                  4                                  2                                  4                                  3                                  3                                  0                                  6                                  6                                  1                                  1                                  4                                  6                                  2                                  4                                  5                                  6                                  4                                  4                                  6                                  6                                  4                                  6                                  5                                  1                                  4                                  0                                  2                                  4                                  0                                  0                                  5                                  1                                  4                                  2                                  0                                  4                                  4                                  0                                  0                                  0                                  6                                  3                                  0                                  4                                  3                                  0                                  3                                  2                                  4                                  3                                  4                                  5                                  0                                  3                                  1                                  5
Guanetidina                                                          6                                  3                                  1                                  1                                  0                                  1                                  0                                  6                                  3                                  4                                  6                                  3                                  5                                  1                                  5                                  0                                  4                                  2                                  1                                  3                                  3                                  0                                  2                                  2                                  3                                  2                                  5                                  1                                  3                                  4                                  0                                  5                                  3                                  5                                  0                                  0                                  3                                  4                                  6                                  4                                  3                                  4                                  4                                  6                                  0                                  4                                  5                                  5                                  3                                  5                                  1                                  1                                  4                                  0                                  0                                  6                                  3                                  0                                  6                                  4                                  5
Haloperidol                                                          4                                  5                                  3                                  1                                  4                                  0                                  6                                  5                                  1                                  1                                  6                                  1                                  2                                  6                                  5                                  5                                  1                                  2                                  6                                  2                                  3                                  0                                  4                                  5                                  3                                  6                                  6                                  5                                  2                                  3                                  6                                  4                                  2                                  0                                  1                                  1                                  0                                  1                                  6                                  1                                  0                                  3                                  2                                  4                                  6                                  6                                  3                                  5                                  4                                  0                                  2                                  0                                  5                                  4                                  3                                  4                                  0                                  4                                  4                                  2                                  0
Hidrato de Cloral                                                    1                                  3                                  5                                  4                                  2                                  4                                  1                                  6                                  1                                  5                                  1                                  4                                  1                                  0                                  4                                  4                                  0                                  6                                  6                                  4                                  6                                  3                                  2                                  6                                  1                                  3                                  2                                  4                                  1                                  5                                  5                                  0                                  0                                  0                                  1                                  3                                  5                                  0                                  6                                  6                                  4                                  4                                  4                                  3                                  3                                  5                                  3                                  6                                  4                                  6                                  3                                  5                                  4                                  4                                  6                                  1                                  1                                  1                                  3                                  4                                  1
Indometacina                                                         0                                  0                                  1                                  6                                  4                                  6                                  5                                  4                                  6                                  2                                  3                                  2                                  5                                  5                                  4                                  1                                  4                                  6                                  5                                  2                                  0                                  0                                  4                                  3                                  0                                  3                                  6                                  0                                  6                                  3                                  3                                  2                                  1                                  4                                  5                                  3                                  6                                  5                                  0                                  2                                  6                                  2                                  2                                  4                                  5                                  3                                  5                                  3                                  0                                  2                                  4                                  6                                  6                                  6                                  5                                  3                                  4                                  2                                  6                                  5                                  5
iMAOs                                                                1                                  6                                  6                                  1                                  5                                  2                                  5                                  5                                  4                                  6                                  5                                  3                                  0                                  5                                  6                                  4                                  2                                  1                                  6                                  4                                  0                                  1                                  6                                  0                                  3                                  0                                  1                                  6                                  4                                  4                                  2                                  4                                  1                                  2                                  1                                  6                                  0                                  5                                  4                                  0                                  1                                  2                                  1                                  4                                  6                                  3                                  0                                  6                                  3                                  3                                  4                                  3                                  1                                  0                                  3                                  0                                  6                                  3                                  5                                  5                                  2
Insulinas                                                            2                                  2                                  6                                  1                                  4                                  5                                  0                                  1                                  5                                  3                                  6                                  2                                  1                                  2                                  5                                  0                                  1                                  0                                  0                                  1                                  1                                  4                                  5                                  6                                  6                                  5                                  2                                  0                                  5                                  4                                  0                                  2                                  2                                  2                                  4                                  0                                  2                                  4                                  4                                  4                                  0                                  5                                  4                                  3                                  6                                  4                                  4                                  4                                  2                                  4                                  1                                  3                                  4                                  3                                  5                                  3                                  3                                  4                                  0                                  1                                  3
Isoniazida                                                           1                                  6                                  1                                  1                                  1                                  0                                  2                                  3                                  1                                  5                                  3                                  4                                  2                                  4                                  5                                  3                                  6                                  0                                  5                                  6                                  0                                  5                                  4                                  6                                  6                                  6                                  6                                  0                                  2                                  2                                  1                                  0                                  2                                  1                                  2                                  6                                  5                                  4                                  2                                  1                                  2                                  0                                  0                                  2                                  3                                  0                                  2                                  6                                  5                                  5                                  6                                  2                                  3                                  1                                  2                                  0                                  2                                  1                                  1                                  6                                  4
Levodopa                                                             4                                  0                                  3                                  4                                  0                                  1                                  6                                  5                                  2                                  6                                  4                                  0                                  4                                  2                                  2                                  0                                  6                                  5                                  3                                  5                                  4                                  4                                  3                                  0                                  5                                  0                                  2                                  4                                  4                                  4                                  6                                  3                                  3                                  1                                  0                                  2                                  1                                  3                                  6                                  6                                  3                                  5                                  0                                  6                                  2                                  4                                  1                                  4                                  2                                  0                                  3                                  4                                  5                                  3                                  3                                  5                                  1                                  4                                  2                                  0                                  1
Meprobamato                                                          3                                  4                                  6                                  2                                  0                                  4                                  6                                  6                                  0                                  0                                  3                                  1                                  4                                  5                                  4                                  6                                  6                                  3                                  5                                  0                                  0                                  0                                  3                                  6                                  1                                  5                                  1                                  0                                  5                                  3                                  3                                  0                                  2                                  2                                  5                                  0                                  5                                  3                                  4                                  2                                  6                                  0                                  3                                  0                                  5                                  2                                  0                                  2                                  6                                  6                                  1                                  6                                  0                                  4                                  5                                  6                                  6                                  4                                  2                                  2                                  5
Metildopa                                                            5                                  4                                  3                                  6                                  0                                  6                                  5                                  6                                  5                                  3                                  5                                  0                                  6                                  1                                  6                                  4                                  6                                  3                                  5                                  3                                  5                                  4                                  3                                  1                                  0                                  5                                  4                                  4                                  5                                  3                                  0                                  6                                  6                                  5                                  5                                  6                                  0                                  3                                  0                                  0                                  3                                  6                                  0                                  5                                  0                                  4                                  2                                  0                                  5                                  2                                  3                                  2                                  6                                  3                                  3                                  0                                  4                                  0                                  3                                  5                                  0
Metotrexato                                                          5                                  4                                  5                                  4                                  2                                  6                                  6                                  1                                  1                                  6                                  3                                  6                                  6                                  6                                  3                                  0                                  3                                  6                                  5                                  6                                  3                                  3                                  0                                  4                                  1                                  4                                  4                                  5                                  3                                  5                                  1                                  3                                  3                                  0                                  1                                  2                                  0                                  5                                  1                                  2                                  6                                  5                                  5                                  2                                  6                                  0                                  2                                  0                                  5                                  2                                  1                                  5                                  3                                  1                                  2                                  4                                  2                                  2                                  2                                  4                                  0
Metronidazol                                                         6                                  6                                  6                                  5                                  2                                  6                                  3                                  2                                  2                                  6                                  6                                  3                                  1                                  6                                  5                                  5                                  5                                  4                                  5                                  1                                  1                                  4                                  1                                  6                                  6                                  5                                  5                                  3                                  5                                  0                                  6                                  4                                  6                                  0                                  1                                  6                                  4                                  5                                  0                                  1                                  4                                  2                                  3                                  3                                  3                                  3                                  0                                  2                                  2                                  4                                  6                                  4                                  0                                  0                                  4                                  0                                  3                                  1                                  6                                  6                                  3
Naproxeno                                                            0                                  5                                  0                                  1                                  6                                  2                                  2                                  0                                  4                                  1                                  5                                  3                                  0                                  6                                  5                                  5                                  1                                  2                                  6                                  3                                  6                                  4                                  1                                  4                                  1                                  1                                  6                                  4                                  2                                  6                                  4                                  4                                  4                                  2                                  6                                  4                                  0                                  4                                  0                                  1                                  0                                  6                                  3                                  6                                  6                                  3                                  4                                  0                                  6                                  6                                  0                                  6                                  5                                  1                                  3                                  2                                  1                                  6                                  5                                  4                                  4
Piridoxina                                                           1                                  5                                  2                                  2                                  6                                  2                                  2                                  3                                  5                                  3                                  2                                  6                                  1                                  0                                  1                                  2                                  2                                  3                                  1                                  2                                  6                                  6                                  2                                  1                                  3                                  1                                  0                                  6                                  6                                  3                                  0                                  0                                  1                                  5                                  6                                  6                                  5                                  4                                  3                                  2                                  5                                  4                                  5                                  3                                  2                                  1                                  4                                  2                                  0                                  2                                  5                                  1                                  2                                  0                                  4                                  3                                  1                                  4                                  4                                  5                                  0
